City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,tan-tan,28.438,-11.1032,22.97,68,75,9.77,MA,1695489477
315,vallenar,-28.5708,-70.7581,31.05,9,5,4.01,CL,1695489477
316,nouadhibou,20.931,-17.0347,25.99,65,9,7.2,MR,1695488981
317,polyarnyy,69.1989,33.4478,9.18,93,100,5.08,RU,1695489080
318,port elizabeth,-33.918,25.5701,15.05,95,100,1.79,ZA,1695488949
319,redencao,-4.2258,-38.7306,34.86,32,40,6.72,BR,1695489481
320,simpang,-1.2667,104.0833,24.33,88,78,1.36,ID,1695489481
321,novyy urengoy,66.0833,76.6333,-0.39,79,45,4.74,RU,1695489482
322,envira,-7.3,-70.2167,38.73,27,0,1.28,BR,1695489483
323,guerrero negro,27.9769,-114.0611,23.39,69,4,4.89,MX,1695489021
324,island harbour,50.724,-1.2758,16.84,69,63,1.34,GB,1695489484
325,brisas de zicatela,15.8369,-97.0419,32.29,51,0,2.06,MX,1695489485
326,san julian,21.0167,-102.1667,23.49,39,9,1.95,MX,1695489255
327,cobram,-35.9167,145.65,7.51,83,0,3.19,AU,1695489486
328,catia la mar,10.6038,-67.0303,32.11,74,40,3.09,VE,1695489487
329,susuman,62.7833,148.1667,-2.31,84,95,0.63,RU,1695488945
330,hilo,19.7297,-155.09,22.38,95,20,3.09,US,1695489431
331,porto novo,6.4965,2.6036,26.94,75,88,3.16,BJ,1695489393
332,coquimbo,-29.9533,-71.3436,17.96,63,3,4.22,CL,1695489017
333,nantucket,41.2835,-70.0995,17.08,99,75,7.72,US,1695489243
334,borba,-4.3878,-59.5939,38.64,29,27,2.69,BR,1695489491
335,ironwood,46.4547,-90.171,16.56,94,100,5.66,US,1695489492
336,grand falls-windsor,48.9332,-55.6649,16.39,85,100,0.45,CA,1695489492
337,zarand,30.8127,56.564,21.34,18,0,2.69,IR,1695489493
338,pishva,35.308,51.7267,26.26,19,0,3.76,IR,1695489494
339,noumea,-22.2763,166.4572,22.78,99,81,4.06,NC,1695489096
340,metkovic,43.0542,17.6483,18.26,91,99,3.3,HR,1695489495
341,alice springs,-23.7,133.8833,10.75,35,0,0.0,AU,1695489026
342,mezhdurechenskiy,59.6,65.9333,10.47,66,100,2.61,RU,1695489496
343,codrington,-38.2667,141.9667,7.6,85,1,3.69,AU,1695489496
344,san pedro,14.35,121.0167,26.57,94,40,1.03,PH,1695489497
345,dunyapur,29.7995,71.7196,33.01,38,9,4.05,PK,1695489497
346,tolanaro,-25.0319,46.9987,22.47,78,0,8.59,MG,1695488955
347,bodaybo,57.8506,114.1933,8.46,82,25,0.91,RU,1695489498
348,mitu,1.1983,-70.1733,35.65,40,2,1.27,CO,1695489498
349,anadyr,64.75,177.4833,3.28,100,100,5.0,RU,1695488950
350,impfondo,1.6381,18.0667,24.04,89,93,3.35,CG,1695489498
351,walvis bay,-22.9575,14.5053,14.49,84,48,7.26,NA,1695489499
352,chiriguana,9.3624,-73.6031,35.54,46,98,2.33,CO,1695489499
353,plastun,44.7561,136.2939,9.04,81,0,3.33,RU,1695489499
354,illizi,26.4833,8.4667,37.47,10,100,6.55,DZ,1695489025
355,bangassou,4.7413,22.8184,21.91,97,94,0.24,CF,1695489500
356,mount pearl,47.5166,-52.7813,17.47,69,34,5.36,CA,1695488979
357,laojunmiao,39.8333,97.7333,10.54,61,85,2.21,CN,1695489500
358,nar'yan-mar,67.6713,53.087,14.02,91,62,7.17,RU,1695489055
359,inongo,-1.95,18.2667,21.76,92,84,4.56,CD,1695489500
360,lazarevskoye,43.9061,39.3331,22.76,66,2,1.82,RU,1695489477
